店舗ID,店舗名,メインジャンル,サブジャンル,キャッチコピー,概要,住所,緯度,経度,電話番号,公式ホームページ,画像1,画像2
69,飛騨牛焼肉 牛嵐山,焼肉・ステーキ,,飛騨牛そぼろと自家製ナムルの牛嵐山飛騨牛ピビンバ,新型コロナウィルス感染拡大に伴い、期間限定でテイクアウトを開始します。自慢の飛騨牛ピビンバは飛騨牛そぼろとと自家製ナムルを使用した逸品です。当店特製のタレをかけてお召し上がり下さい。前日の23:00までの予約受付限定となります。,愛知県豊橋市つつじが丘 2-28-5,34.748266,137.399705,(0520)63-5838,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/LW01mL.jpg,
70,京料理とおばんざい 吉良屋,和食,,本格京料理をお値打ちに,"毎日数量限定、700円のお値打ち価格で京料理のお弁当をお楽しみいただけます。その他ちょっと贅沢に、1,500円～5,800円までもご用意致します（前日までに要予約）詳細はお気軽にお問合せ下さい。",愛知県豊橋市魚町 92,34.765655,137.389806,(0520)75-9710,https://www.kira-ya.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/qGbxlU.jpg,
71,銀カフェ リビングルーム,惣菜・オードブル・お弁当,,銀カフェリビングルームの野菜畑弁当！800円。,国産野菜をメインとしたヘルシーなお弁当です。ローストビーフ、ハンバーグ、魚からお選び下さい。詳細はお気軽にお問合せください。,愛知県豊橋市中原町字岩下 36-3,34.724464,137.47252,(0520)26-4654,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/tkx7x4.jpg,
73,和心仏料理 kings kitchen,フレンチ,,今日はちょっと贅沢に,ご注文は他のお客様との接触を極力避けるため、また、ご来店後待たずにお渡しできるように、お電話でのご予約注文とさせて頂きます。（前日またはご来店30分前まで）メニュー詳細は問合せ下さい。,愛知県豊橋市駅前大通 1-61,34.762652,137.384532,(0520)26-6573,http://www.kingskitchen.jp,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/Tf8T9f.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/RT2VXs.jpg
74,旬彩定食 銀しゃり食堂,和食,,豊富な持ち帰りメニューが人気の定食屋さんです,期間限定500円弁当（チキンカツ（写真）または鶏の唐揚）をはじめ、炭火で焼くさばや縞ほっけの弁当など、店内のメニューが当日注文でOK。事前予約でオードブルや予算に応じた特注弁当もあります。時短にて通常営業もしています。,愛知県豊橋市柱九番町 41-7,34.743888,137.382744,(0520)75-9277,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/MfK9VG.jpg,
75,クラシカルコーヒーロースターカフェ,洋食,カフェ・喫茶店,アメリカンダイナーの本格グリル料理、手作りバーガー・サンドイッチ・グリル&ライス！,便利なWEBオーダーでお得なクーポン利用可能。フード・ドリンク・ケーキは全品テイクアウト可能です。アメリカンダイナーの本格手づくりグリル料理をおうちで楽しもう！,愛知県豊橋市植田町関取 65,34.706632,137.355227,(0520)25-9707,https://www.classical-co.com/cafe/takeaway/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/7m8OmW.jpg,
76,蔵之助 豊橋店,居酒屋,和食,蔵之助の料理がご自宅でもお楽しみ頂けます！,蔵之助豊橋店です！名物のもつ鍋や出汁巻き玉子を始め、お弁当など様々なお料理をご自宅でも美味しくお召し上がり頂けるようになりました。ぜひお召し上がりください！,愛知県豊橋市広小路 1-18 ウェルプラザ・ユメックスビルB1,34.764494,137.384825,(0520)43-6816,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/Hsygge.jpg,
78,車寿司,寿司,,お家まで出前迅速！お寿司を頼むなら車寿司,お寿司のテイクアウトやデリバリーはもちろんのこと、その他、一品料理やおつまみなども沢山あります。ぜひお気軽にお問合せ下さい。,愛知県豊橋市西小鷹野 4-15-11,34.775272,137.428235,0120-61-6925,http://kuruma-sushi.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/FE3Mpy.jpg,
79,元祖 豊橋鴨餃子 黒松家餃子,居酒屋,,元祖！！豊橋鴨餃子！まろやかに広がる旨味！,豊橋産愛知鴨と、小松菜を使用した元祖！！豊橋鴨餃子！こだわり餃子11種や、串揚げ、から揚げ等の揚げ物などのテイクアウトがご利用できます。黒松家餃子でしか味わえない料理を、是非ご家庭で！電話にて予約するとスムーズです。,愛知県豊橋市松葉町 1-104,34.765656,137.385173,(0520)35-7770,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/mS9JJU.jpg,
80,K.K.インドレストラン,インド・カレー,,美味しい本場インド料理を家庭でも！,28種類の本格インドカレーと9種類の焼きたてナンの他に、人気のマライティッカやナンロール、カラミケバブ等の単品メニューも種類豊富！！セットメニュー以外の全メニューがテイクアウトできるので、家庭でも本場の味を楽しめます。,愛知県豊橋市松井町南新切 33-1,34.72384,137.376737,(0520)26-3303,https://kk-indian-restaurant.gorp.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/5UC18i.jpg,
81,焼き鳥 げんこつやま,焼鳥・串焼き,,香ばしく美味しい！本格炭火焼鳥をご自宅で！,新鮮な錦爽どりの美味し～い本格炭火焼鳥の他、ランチで人気の「焼鳥屋さんの熟成カレーライス」もテイクアウト出来ます。当日16:00までに電話にてご注文頂ければ17:00以降のお渡しがスムーズです。,愛知県豊橋市駅前大通 2-30-2,34.762848,137.385872,(0520)52-8119,http://www.genkotsu-toyohashi.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/CDiuYJ.png,
83,焼肉 剛ノ家,焼肉・ステーキ,,おうちの庭で、剛ノ家BBQなんていかがですか？,今回、剛ノ家のお肉でBBQが楽しめるようセットメニューをご用意しました。また、一枚一枚丁寧に炭火焼きした焼肉弁当、丼ぶり物、剛ノ家カレー、ユッケジャンスープや冷麺など店内メニューのほとんどの品がテイクアウト可能です。,愛知県豊橋市三本木町字新三本木 68-9,34.724336,137.396161,(0520)37-9158,http://www.go-noya.com,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/NMS5Uc.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/cZesDH.png
84,コウヨウ館 浜道店,洋食,,お店の味をご家庭でいかがですか？,前日までのご注文で、各商品30円引き致します！,愛知県豊橋市浜道町字新百々池 9-3,34.71927,137.409335,(0520)21-5511,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/HaHb2d.jpg,
85,コウヨウ館 二川店,洋食,,お店の味をご家庭でいかがですか？,前日までのご注文で、各商品30円引き致します！,愛知県豊橋市雲谷町字上ノ山 189-1,34.725761,137.460925,(0520)43-0677,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/wpy9oM.jpg,
86,コウヨウ館 清須店,洋食,,コウヨウ館の味をご自宅で！,コウヨウ館弁当880円、オムライス弁当（半熟オムライス、串カツ、コロッケ、唐揚げ、ポテトサラダ、本日の付け合せ）、ハンバーグ弁当（デミグラスハンバーグ、ライス、ポテトサラダ、本日の付け合せ）、お子様弁当480円、その他メニューもございます！,愛知県豊橋市清須町字堂西 108,34.778118,137.351458,(0520)26-9977,https://kouyoukan-kiyosu.jimdofree.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/ti8OEm.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/I56y9X.jpg
87,かに料理 豊橋甲羅本店,和食,寿司,かに料理専門店の本格かに弁当をご堪能ください,「ずわい蟹の天ぷら」「かに太巻寿司」「かにシューマイ」等が入った3種の松花堂弁当をご用意致しております。ご法事・お祝い事・ご会合・ご家族の団らん等で、多数ご注文の場合は配達も致します。詳しくは店舗にご連絡ください。,愛知県豊橋市花田町字中ノ坪 35-1,34.768128,137.376242,(0520)31-0125,http://takeout.kora.co.jp/kora/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/Guy45A.jpg,
88,コージーズハンバーグ,洋食,,コージーズのハンバーグを是非ご自宅で！,和牛最高ランクA5等級と愛知県産の豚肉を使ったこだわりの手こねハンバーグは、ふわふわでジューシー！ぜひご自宅でもお楽しみください。事前にご注文頂けるとお渡しの際スムーズです！,愛知県豊橋市南栄町字空池 24-3,34.734684,137.384799,(0520)48-0910,https://www.cozis0712.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/OAzMAf.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/6PGdoV.jpg
89,カレーハウス CoCo壱番屋 豊橋岩田店,インド・カレー,,自宅で堪能できる専門店の味！トッピングは無限大！,出来立てお弁当承り中。覚めてもそのままレンジでOK！ご自宅で職場でココイチを楽しめます。お子様カレーやレトルトカレーなど種類も豊富！衛生管理は徹底しているので安心。,愛知県豊橋市平川本町 1-3-10,34.759902,137.422455,(0520)64-8449,https://tenpo.ichibanya.co.jp/map/1304,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/TShGyC.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/TxXbll.jpg
90,カレーハウス CoCo壱番屋 豊橋高師店,インド・カレー,,おうちでココイチ！お弁当承ります♪,ネットでの注文も承っております。ネット注文なら、店頭での商品受け渡しが時間がかからず、便利です。当店はドライブスルーもやっております。車から降りずに更に便利にご利用いただけます。※ネット注文のご予約は店舗ホームページよりご利用いただけます。,愛知県豊橋市向草間町字北新切 134-1,34.726282,137.380145,(0520)37-7631,https://tenpo.ichibanya.co.jp/map/1702,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/WrqQ15.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/Ov9FkS.png
91,カレーハウス CoCo壱番屋 豊橋前田店,インド・カレー,,おうちでココイチ！お弁当承ります♪,ココイチのカレーがおうちで気軽に食べられます。ネットでの注文も承っております。ネット注文をしていただけると、店頭での商品受け渡しが時間がかからず、便利です。ぜひご利用ください。※ネット注文のご予約は、店舗ホームページよりご利用いただけます。,愛知県豊橋市前田南町 1-12-10,34.756257,137.391834,(0520)56-0400,https://tenpo.ichibanya.co.jp/map/1369,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/zzygoG.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/EiXq8v.png
92,カレーハウス CoCo壱番屋 豊橋藤沢店,インド・カレー,,おうちでココイチ！お弁当のご注文承ります！,ココイチのカレーがおうちで気軽に食べられます。ネットでの注文も承っております。ネット注文をしていただけると、店頭での商品受け渡しがとてもスムーズで便利です。ぜひご利用ください。※ネット注文のご予約は店舗ホームページよりご利用いただけます。,愛知県豊橋市神ノ輪町 89,34.742516,137.368998,(0520)47-1476,https://tenpo.ichibanya.co.jp/map/1144,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/XyJMBn.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/geR6Eg.png
93,カレーハウス CoCo壱番屋 ラウンドワン豊橋店,インド・カレー,,ネット注文で待たずにお持ち帰りできます！,お弁当の他にもレトルト商品も扱っております。ぜひ便利なネット注文をご利用ください。,愛知県豊橋市大岩町字岩田 27-2,34.723899,137.432723,(0520)43-1158,https://www.ichibanya.co.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/OEK4rb.jpg,
94,COCOcafe 駅前店,カフェ・喫茶店,洋食,お子様給食支援弁当300円！ぜひご利用ください！,お子様向けの美味しくてリーズナブルなお弁当をご用意しております。献立を考えるのにちょっと疲れた時などぜひご利用下さい！大量注文の場合には前日12:00までにご連絡をお願い致します。,愛知県豊橋市松葉町 2-19 レオンビル1F,34.765805,137.383908,(0520)55-8099,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/efyOn8.jpg,
95,COCOcafe 弥生店,カフェ・喫茶店,洋食,お子様給食支援弁当300円から！,お子様向けの美味しくてリーズナブルなお弁当をご用意しております。献立を考えるのにちょっと疲れた時などぜひご利用下さい！大量注文の場合には前日12:00までにご連絡をお願い致します。,愛知県豊橋市弥生町字東豊和 17,34.735984,137.393685,(0520)37-5050,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/8VVPh7.jpg,
97,イタリアンレストラン こすたりかシティガーデン,洋食,,こすたりかの味をご家庭で,"お電話でご注文頂けます。パスタ：地中海ペペロンチーノ700円、ソーセージミート800円、キノコと明太子クリーム850円。ピザ（箱代別途100円）：マルゲリータ880円（今だけ割引中）、バジル＆トマト1,180円（今だけ割引中）。※全て税別。",愛知県豊橋市今橋町 1,34.76929,137.392276,(0520)51-3048,https://cafe-costarica.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/HbEKv8.jpg,
98,フォアグラと燻製 COSSORI,創作・ダイニング,,お店の味をご自宅で！テイクアウト始めました！,ご予約での承りとなります。ご注文の際は、お電話にてご確認お願いします。,愛知県豊橋市松葉町 1-6,34.765355,137.38342,(0520)52-1617,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/jwF6Sa.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/FC9sse.jpg
99,らーめん・浜松餃子の専門店 五味八珍 曙店,中華,,本格中華弁当！新ラインナップ！ネットがお得！,五味八珍のテイクアウト（お持ち帰り）は計50品！！「弁当メニュー」、「本格中華の一品」、「オードブル」など、魅力度がパワーアップ！食べたいメニューがきっとみつかるワクワクメニューです♪,愛知県豊橋市西幸町字浜池 8-1,34.724015,137.403574,(0520)47-8910,http://www.gomihattin.co.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/UjgT1i.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/rKyNVo.jpg
100,らーめん・浜松餃子の専門店 五味八珍 殿田橋店,中華,,本格中華弁当！新ラインナップ！ネットがお得です！,五味八珍のテイクアウト（お持ち帰り）は計50品！！「弁当メニュー」、「本格中華の一品」、「オードブル」など、魅力度がパワーアップ！食べたいメニューがきっとみつかるワクワクメニューです♪,愛知県豊橋市飯村北 1-2-5,34.746887,137.416,(0520)64-1538,http://www.gomihattin.co.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/uJyxew.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/3v1x2E.jpg
101,らーめん・浜松餃子の専門店 五味八珍 柱店,中華,,本格中華弁当！新ラインナップ！ネットがお得！,五味八珍のテイクアウト（お持ち帰り）は計50品！！「弁当メニュー」、「本格中華の一品」、「オードブル」など、魅力度がパワーアップ！食べたいメニューがきっとみつかるワクワクメニューです♪,愛知県豊橋市柱六番町 142,34.747503,137.373611,(0520)37-4688,http://www.gomihattin.co.jp/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/EMCUfP.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/OWDjO0.jpg
102,craft burger & dinning THE ROOTS,ハンバーガー・サンドイッチ,,自家製バンズとハンドチョップパティのハンバーガー,サクフワバンズは全て自家製。塊肉を手切りした肉感を存分に味わえるハンバーガーです。ハンバーガーは肉料理だ！と感じて頂きたいという思いで作っています。,愛知県豊橋市新吉町 48-2 マドカビル1F,34.762478,137.392394,(0520)52-0039,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/YdLtNd.jpg,
104,三遠ネオフェニックス楽市,惣菜・オードブル・お弁当,焼肉・ステーキ,三遠地域の農家さんを応援！,キッチンカーで出張販売を行います！東三河と遠州の農畜産物を材料としたお弁当や丼物、炭火で焼いたフランクフルトや焼き肉等を販売します。,愛知県豊橋市広小路 3-54,34.763844,137.388023,090-3852-8364,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/jhoJW1.jpg,
105,軍鶏と鴨と名古屋コーチン 三代目あら兵衛,和食,,お店の味をご自宅で！テイクアウト始めました！,ご予約での承りとなります。ご注文の際は、お電話にてご確認お願いします。,愛知県豊橋市駅前大通 1-70,34.762604,137.385062,(0520)53-8853,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/cMxQWm.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/wuebsJ.jpg
106,SANDWICH MOMENT,ハンバーガー・サンドイッチ,イタリアン,豊橋市役所にて、5/1まで平日のみ出店中（11:00～13:00）,パニーニ専門フードトラックから、食べ応えのあるランチボックスが登場。パルマ産生ハムのパニーニ 、バジルトマトペンネ、グリル野菜のマリネ、各700円などのメニューがございます。,愛知県豊橋市御園町 2-8,34.740845,137.410035,080-3611-0594,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/eEpze7.jpg,
107,サンローズ,カフェ・喫茶店,,テイクアウトはじめました❗️,ハンバーグボックス550円、唐揚ボックス550円、カツカレーサラダ付800円、ハンバーグピラフサラダ付800円、唐揚げピラフサラダ付、他にも単品メニューあります。問合せ先：サンローズ0532-31-7538（ご注文は18:00まで）,愛知県豊橋市新栄町字南小向 93,34.765922,137.362811,(0520)31-7538,http://sun-rose.sakura.tv/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/eNV5Zw.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/QDyGFY.png
108,Chinese Dining 謝謝 駅前店,中華,,本格四川料理をご自宅で！,麻婆豆腐やエビチリ、チンジャオロースなどの単品メニューはもちろん、謝謝の人気メニューやこだわりがいっぱい詰まったお弁当やパーティーオードブルもご用意。（お弁当・パーティーオードブルは2日前までに要予約）,愛知県豊橋市駅前大通 1-135 COCOLA,34.762163,137.383289,(0520)55-6226,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/XUOgbs.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/GX7ZNW.jpg
109,catering & delivery & dish Chef's Garden,洋食,和食,各店の得意料理を活かしたシェフ特製ケータリング,"鉄板ダイニング 歩亜麗（ポアレ）・京町ダイニング べったく・鉄板ダイニング JUJU（ジュジュ）・焼肉ダイニング わが家を展開する会社がお弁当やオードブルのケータリングをスタート!  前日15:00までの要予約。お弁当は5個から、5,000円以上で配達も可能。",愛知県豊橋市広小路 2-30-2,34.763895,137.386172,050-3820-9831,http://www.jey-z.co.jp/poare/catering.html,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/qDECLs.jpg,
110,ジェラートサンタ,和・洋菓子、スイーツ,,美味しいジェラートをご自宅で！！,地元の旬な食材を使用した、新鮮・安心・美味しいジェラート！！ジェラート（360円）ダブルクリーム、抹茶、チョコレート、いちごミルクなど。（510円）ピスタチオ、パエーゼミオ、ハナビなど。その他にもいろいろフレーバーあります！！,愛知県豊橋市曙町字南松原 5-1,34.730666,137.400171,(0520)48-3444,http://www.gelato-santa.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/XiJR3Z.jpg,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/c0yNEy.jpg
111,焼肉 塩すだち,焼肉・ステーキ,,塩すだちのすだち冷麺,※要予約、前日22:00まで。,愛知県豊橋市大橋通 1-87-2,34.764361,137.382539,(0520)55-4100,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/gTImB8.jpg,
112,STEAK & DINNER CHICAGO,焼肉・ステーキ,,お家で囲む食卓が豊かになりますように願いを込めて。,当店のメニュー又は、予算に応じてお弁当をご提供いたします。大根おろし＆特製ステーキソースと自慢のステーキの相性も抜群！ランチタイムはランチ価格のお弁当も可能です！季節のお野菜と厳選された肉の旨みをご堪能あれ！お電話にてご予約ください。,愛知県豊橋市平川本町 2-13-14,34.758093,137.42678,(0520)62-1140,http://www.tees.ne.jp/~chicago/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/xBIBIK.jpg,
113,酒房 440,居酒屋,,丹精込めた440の料理をご自宅で楽しんでください！,電話による受付は、昼12:00から受け付けており、前もって注文していただけるとスムーズに受け渡しができます。16:00～19:00の受け取りは、前日までに注文をお願いします。この機会にぜひ一度足を運んでみてください！,愛知県豊橋市前田町 2-17-13,34.759544,137.398029,(0520)56-4400,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/VjETdo.jpg,
114,中国料理 四川,中華,ラーメン,本格四川料理が家庭でも！お弁当は800円,令和元年の年末にオープンしたばかりのお店です。生ビールと相性抜群の四川料理、鶏肉唐辛子炒めや麻辣牛肉、特大唐揚げも大人気です。他には小籠包、手作り餃子、台湾ラーメン、エビマヨなどがオススメです。駐車場も広くてとても便利です！,愛知県豊橋市西幸町字幸 10-2,34.731922,137.414612,(0520)73-3085,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/Vv0yf3.jpg,
115,赤身ヒレ焼肉 シャトーブリアン芯,焼肉・ステーキ,惣菜・オードブル・お弁当,ご自宅で上質な黒毛和牛焼肉を！前日予約で昼11:00よりテイクアウト対応致します！！,豊橋駅から徒歩3分！熟練の職人が日々最高の黒毛和牛を厳選して仕入れ！最高のお肉を使ったテイクアウトメニューを多数ご用意。この機会に是非ご注文下さいませ。,愛知県豊橋市松葉町 1-2,34.765394,137.383331,(0520)55-1200,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/3Nt1mK.jpg,
116,東京豚骨拉麺じゃんだら,ラーメン,惣菜・オードブル・お弁当,常連さんのみ知る倍盛チャーシューご飯もお持ち帰り可,夜中のラーメン屋さん「じゃんだら」が、コロナの影響で再びランチを始めました！是非、ご家庭でじゃんだらの味をお楽しみ下さい！！,愛知県豊橋市神ノ輪町 76,34.741025,137.366482,(0520)37-2193,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/bbHDzt.jpg,
117,鐘庵 大村町店,うどん・そば,,名物　桜えびそばの鐘庵がテイクアウトメニューを開始！,特製桜えび天重720円、炙り焼肉丼セット各720円、穴子丼セット・華えび丼セット・のり弁セット各620円、カレー丼セットもございます（セットはいずれも冷そば又はうどん付）。他通常メニューも承ります。詳細は、お電話にてお問合せください。,愛知県豊橋市大村町橋元 83-1,34.795093,137.389326,(0520)54-7876,https://www.shoan.co.jp/menu.html,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/tRsGLe.jpg,
118,支留比亜珈琲 豊橋小松店,カフェ・喫茶店,ハンバーガー・サンドイッチ,お電話でのご注文で、ご希望のお時間にお作りできます！,支留比亜のサンドイッチは種類が豊富です！EHTサンド、カツサンドなどの名物や、ハムエッグトースト、シナモントーストなどの人気メニューもございます。ドリンクやケーキもテイクアウト可能です。ぜひご自宅でもお召し上がり下さい！,愛知県豊橋市小松町 199-1,34.739711,137.393427,(0520)37-7888,https://localplace.jp/sp/t200469852/index.html,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/FxIDP1.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/6qmHeR.png
119,信洲庵 中浜本店,うどん・そば,和食,昔ながらの庶民的なうどん屋です。心もお腹も大満足！,お店の味をご家庭で。お持ち帰りは電話で注文すれば待ち時間も少ないです。通常メニュー（鍋物以外）から一品物まで、麺だけ、汁だけもOK! 器はパック容器または陶器など（後日返却）選べます。,愛知県豊橋市中浜町 83-5,34.74105,137.373613,(0520)46-5335,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/xJfmXI.jpg,
120,寿月,和食,,うなぎを食べて 元気になろう！,"ご家庭で炭火直焼きうなぎ弁当はいかがですか。うなぎ弁当各種2,050円～。お電話での事前注文がオススメです。",愛知県豊橋市前田南町 1-20-8,34.754973,137.390558,(0520)53-1327,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/JUzvQC.jpg,
122,鮨亀,寿司,,#期間限定 #おうちで寿司弁当,"ご注文は、電話予約又はご来店時でも可能です。（店頭注文はお時間20分程頂きます）お支払いは現金のみとさせて頂きます。掲載写真は、松花堂1,080円（税込）。寿司、刺身盛合せ、オードブル（要予約）など、お気軽にお問い合わせ下さい",愛知県豊橋市東岩田 3-5-7,34.751999,137.430248,(0520)61-8831,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/G3jK0x.jpg,
123,pasta & meat STAUB,創作・ダイニング,,こんな時だけの！ご褒美テイクアウト！,"前日まで にストウブにご予約をお願いします。お受け取りのお時間に合わせてお作りしますので出来立てをお召し上がり頂けます。
不明な点、それぞれ単品などのご相談がありましたらお気軽にご連絡ください。お支払いは現金のみとなります。",愛知県豊橋市向山町字一本松 1-1 向山フォレスタUNO,34.756311,137.398281,(0520)54-5545,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/awXchv.png,
124,砂場 大清水店,うどん・そば,,ランチテイクアウトできます！！,定番の丼物からボリューム満点のランチ、こだわりのおつまみまで幅広く対応しています。当面の間テイクアウトの500円以上の商品は100円引き！ガッツリ美味しく食べて免疫力アップ！！,愛知県豊橋市大清水町字大清水 77-1,34.699321,137.359409,(0520)25-0396,,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/dwQ8du.jpg,
126,韓国居酒屋 スモモバル,韓国,,本格韓国料理をご家庭で！,甘辛タレの名物スモバルチキンや、外はパリパリ中はふわふわの自慢のチヂミ、もちもち麺のチャプチェなどご家庭ですももの味をお楽しみ下さい。,愛知県豊橋市駅前大通 1-109-1,34.761692,137.384405,(0520)56-6323,https://search.yahoo.co.jp/amp/s/r.gnavi.co.jp/amp/ss1gdhgv0000/%3Fusqp%3Dmq331AQRKAGYAfm63Yn4-Kn3mQGwASA%253D,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/QtKWyv.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/YE9QGy.png
127,安曇野そば 勢川 磯辺店,うどん・そば,,家族で過ごす時間が長いから、楽しく美味しく！,お弁当、お持ち帰りも各種取り揃えております。「お弁当も良いけど、お米はうちにあるのよね」という方でも、家族皆で楽しみながら、美味しくお食事していただけるよう考えたメニューが沢山です。※事前電話予約がスムーズです。,愛知県豊橋市駒形町字下田 92-2,34.721581,137.364243,(0520)46-4662,http://www.segawaudon.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/1Gn3xD.png,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/9agZaK.png
128,ゆずきりそば 勢川 新吉店,うどん・そば,,温かいものは温かいまま,当店では、「温かいものは温かいまま」召し上がって頂きたいとの思いから、どんぶりでの提供を行なっています。お子様メニューは、お菓子、おもちゃ、ゼリーが付きます。前日予約なら、お渡し時間のご対応が可能です。,愛知県豊橋市新吉町 24,34.763885,137.392967,(0520)55-6323,http://www.tees.ne.jp/~best/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/6tXBLS.jpg,
129,勢川 つつじが丘店,うどん・そば,和食,器も味も、お店で食べるのと同じお家ご飯。,器も味も店内で提供する物と同じなので、お家で勢川の味が楽しめます。また、一部商品は、専用パックにてお持ち帰りも可。器でテイクアウトして頂いた場合は翌日返却して頂くか、こちらから取りに伺います。前日までにご予約頂くと、スムーズに提供可能です。,愛知県豊橋市つつじが丘 2-3-7,34.748474,137.399433,(0520)62-8011,http://www.aichi-udonsoba.com/shopDetail.php?id=1266,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/CT3Is3.jpg,
130,勢川 本店,うどん・そば,和食,勢川本店の味をご家庭で♪お出汁販売中！,通常メニューのほとんどがお持ち帰り・出前が可能です（パック容器をご要望の場合は1つにつき+30円）。出前エリアの詳細はお問い合わせ下さい。お出汁の販売も1リットル600円、容器持参なら500円でやっています。,愛知県豊橋市松葉町 3-88,34.766844,137.384734,(0520)52-3360,http://www.segawaudon.com/,https://mi.temirin.jp/data/contentset/tmp//F/3F/assets/spot/uELvrg.jpg,
